Lima;Lima;Ancón;Secundaria;Ningún Seguro;No Tiene Discapacidad;8051
Lima;Lima;Lince;Secundaria;Seguro de Salud Fuerzas Armadas o Policía;No Tiene Discapacidad;210
Lima;Cajatambo;Manás;Maestria o Doctorado;EsSalud;No Tiene Discapacidad;2
Lima;Huaura;Huaura;Secundaria;Otro Seguro de Salud;No Tiene Discapacidad;57
Lima;Huarochirí;San Lorenzo de Quinti;Inicial;SIS;No Tiene Discapacidad;44
Lima;Barranca;Supe;Básica Especial;SIS;No Tiene Discapacidad;8
Lima;Lima;Comas;Sin Nivel;Seguro de Salud Privado;Tiene Alguna Discapacidad;31
Lima;Huarochirí;Matucana;Primaria;EsSalud;Tiene Alguna Discapacidad;42
Lima;Lima;Lince;Inicial;Seguro de Salud Privado;Tiene Alguna Discapacidad;15
Lima;Cañete;Imperial;Superior Universitaria Completa;EsSalud;Tiene Alguna Discapacidad;205
Lima;Huaura;Hualmay;Inicial;EsSalud;Tiene Alguna Discapacidad;24
Lima;Lima;Breña;Básica Especial;Seguro de Salud Privado;No Tiene Discapacidad;6
Lima;Lima;San Miguel;Superior Universitaria Completa;SIS;Tiene Alguna Discapacidad;185
Lima;Lima;Villa El Salvador;Primaria;SIS;No Tiene Discapacidad;25462
Lima;Lima;San Luis;Superior No Universitaria Incompleta;Otro Seguro de Salud;No Tiene Discapacidad;61
Lima;Lima;Independencia;Superior Universitaria Completa;EsSalud;No Tiene Discapacidad;6568
Lima;Yauyos;Quinocay;Primaria;Seguro de Salud Privado;No Tiene Discapacidad;1
Lima;Yauyos;Laraos;Superior Universitaria Incompleta;Ningún Seguro;No Tiene Discapacidad;2
Lima;Huaral;Chancay;Secundaria;EsSalud;No Tiene Discapacidad;6057
Lima;Lima;Chorrillos;Inicial;Seguro de Salud Fuerzas Armadas o Policía;Tiene Alguna Discapacidad;18
Lima;Lima;Carabayllo;Inicial;Ningún Seguro;No Tiene Discapacidad;3370
Lima;Cañete;Imperial;Sin Nivel;Ningún Seguro;No Tiene Discapacidad;238
Lima;Lima;Villa El Salvador;Inicial;EsSalud;Tiene Alguna Discapacidad;302
Lima;Cañete;Pacarán;Superior Universitaria Incompleta;Ningún Seguro;No Tiene Discapacidad;10
Lima;Lima;Comas;Primaria;SIS;Tiene Alguna Discapacidad;6877
Lima;Lima;San Borja;Inicial;EsSalud;Tiene Alguna Discapacidad;40
Lima;Cañete;Asia;Maestria o Doctorado;EsSalud;No Tiene Discapacidad;23
Lima;Huaura;Caleta de Carquín;Superior Universitaria Incompleta;Otro Seguro de Salud;No Tiene Discapacidad;4
Lima;Lima;Jesús María;Primaria;EsSalud;No Tiene Discapacidad;3053
Lima;Yauyos;Viñac;Secundaria;EsSalud;No Tiene Discapacidad;28
Lima;Lima;Cieneguilla;Inicial;Seguro de Salud Privado;No Tiene Discapacidad;40
Lima;Cañete;Nuevo Imperial;Superior Universitaria Completa;SIS;No Tiene Discapacidad;259
Lima;Cañete;San Luis;Inicial;EsSalud;No Tiene Discapacidad;216
Lima;Huaura;Santa María;Superior Universitaria Completa;Ningún Seguro;Tiene Alguna Discapacidad;68
Lima;Yauyos;Laraos;Superior No Universitaria Incompleta;EsSalud;No Tiene Discapacidad;6
Lima;Yauyos;Viñac;Primaria;EsSalud;Tiene Alguna Discapacidad;2
Lima;Lima;Ancón;Superior No Universitaria Completa;Seguro de Salud Privado;No Tiene Discapacidad;111
Lima;Lima;Pueblo Libre;Básica Especial;EsSalud;Tiene Alguna Discapacidad;35
Lima;Lima;San Juan de Miraflores;Básica Especial;Seguro de Salud Privado;Tiene Alguna Discapacidad;10
Lima;Lima;Lurín;Básica Especial;EsSalud;No Tiene Discapacidad;66
Lima;Huaura;Hualmay;Superior No Universitaria Incompleta;SIS;No Tiene Discapacidad;265
Lima;Lima;Ancón;Básica Especial;Otro Seguro de Salud;No Tiene Discapacidad;4
Lima;Lima;Los Olivos;Secundaria;Ningún Seguro;No Tiene Discapacidad;34976
Lima;Lima;Pachacamac;Sin Nivel;EsSalud;No Tiene Discapacidad;679
Lima;Yauyos;Omas;Primaria;SIS;Tiene Alguna Discapacidad;63
Lima;Lima;Independencia;Superior No Universitaria Incompleta;SIS;No Tiene Discapacidad;3142
Lima;Lima;Lima;Superior Universitaria Incompleta;Seguro de Salud Fuerzas Armadas o Policía;No Tiene Discapacidad;713
Lima;Lima;Los Olivos;Básica Especial;Otro Seguro de Salud;No Tiene Discapacidad;10
Lima;Lima;Chorrillos;Superior No Universitaria Incompleta;Ningún Seguro;Tiene Alguna Discapacidad;434
Lima;Lima;Punta Hermosa;No declaró;SIS;Tiene Alguna Discapacidad;9
Lima;Lima;Santiago de Surco;Superior No Universitaria Completa;Ningún Seguro;Tiene Alguna Discapacidad;475
Lima;Yauyos;Quinches;No declaró;SIS;No Tiene Discapacidad;12
Lima;Huarochirí;San Mateo;Secundaria;Seguro de Salud Privado;No Tiene Discapacidad;10
Lima;Yauyos;Cacra;Superior No Universitaria Incompleta;Ningún Seguro;No Tiene Discapacidad;8
Lima;Lima;Ate;No declaró;EsSalud;No Tiene Discapacidad;8928
Lima;Lima;Lurigancho;Maestria o Doctorado;EsSalud;Tiene Alguna Discapacidad;244
Lima;Lima;San Luis;Inicial;SIS;No Tiene Discapacidad;356
Lima;Lima;Villa El Salvador;Superior Universitaria Incompleta;SIS;No Tiene Discapacidad;4245
Lima;Cañete;Nuevo Imperial;Superior Universitaria Completa;EsSalud;No Tiene Discapacidad;446
Lima;Cañete;Pacarán;Superior No Universitaria Completa;Ningún Seguro;No Tiene Discapacidad;23
Lima;Lima;Pueblo Libre;Primaria;Otro Seguro de Salud;No Tiene Discapacidad;150
Lima;Lima;Pucusana;Maestria o Doctorado;Seguro de Salud Fuerzas Armadas o Policía;Tiene Alguna Discapacidad;1
Lima;Lima;San Martín de Porres;Básica Especial;SIS;No Tiene Discapacidad;315
Lima;Lima;San Juan de Lurigancho;Sin Nivel;Ningún Seguro;Tiene Alguna Discapacidad;1808
Lima;Lima;Rímac;Maestria o Doctorado;Ningún Seguro;Tiene Alguna Discapacidad;19
Lima;Canta;Canta;Superior Universitaria Incompleta;SIS;No Tiene Discapacidad;22
Lima;Yauyos;Tanta;Primaria;EsSalud;No Tiene Discapacidad;5
Lima;Barranca;Barranca;Primaria;Seguro de Salud Privado;No Tiene Discapacidad;106
Lima;Cañete;Santa Cruz de Flores;Maestria o Doctorado;EsSalud;No Tiene Discapacidad;14
Lima;Lima;Punta Hermosa;Secundaria;Seguro de Salud Privado;Tiene Alguna Discapacidad;16
Lima;Cañete;Chilca;Secundaria;SIS;No Tiene Discapacidad;2889
Lima;Huaral;Aucallama;Superior Universitaria Completa;Seguro de Salud Privado;Tiene Alguna Discapacidad;2
Lima;Cañete;San Antonio;Primaria;SIS;Tiene Alguna Discapacidad;78
Lima;Huaral;Chancay;Superior No Universitaria Completa;Seguro de Salud Fuerzas Armadas o Policía;Tiene Alguna Discapacidad;5
Lima;Huarochirí;Santa Cruz de Cocachacra;Inicial;EsSalud;No Tiene Discapacidad;28
Lima;Cañete;San Luis;No declaró;SIS;No Tiene Discapacidad;430
Lima;Lima;Pueblo Libre;Inicial;EsSalud;Tiene Alguna Discapacidad;46
Lima;Lima;Comas;Inicial;Ningún Seguro;No Tiene Discapacidad;3976
Lima;Barranca;Supe Puerto;Superior No Universitaria Completa;Seguro de Salud Privado;No Tiene Discapacidad;15
Lima;Yauyos;Tupe;Secundaria;SIS;No Tiene Discapacidad;130
Lima;Lima;Chaclacayo;Básica Especial;Otro Seguro de Salud;No Tiene Discapacidad;3
Lima;Lima;San Martín de Porres;Maestria o Doctorado;Seguro de Salud Fuerzas Armadas o Policía;No Tiene Discapacidad;298
Lima;Lima;Cieneguilla;Maestria o Doctorado;Seguro de Salud Privado;No Tiene Discapacidad;61
